state_name,crop_name,seed_cost,fertilizer_cost,manure_cost,pesticide_cost,irrigation_cost,misc_cost,machinery_cost,revenue,total_cost,yield_per_acre
Uttar Pradesh,chickpea,1052.83,142.77,17.16,3.67,133.63,0.0,3815.2,12391.05,5165.26,4.054956395054734
Bihar,chickpea,1095.49,531.32,0.0,43.53,41.14,0.0,3478.46,9143.07,5189.9400000000005,2.7842415167641286
Bihar,chickpea,1335.77,385.13,0.0,14.8,114.95,0.0,3698.16,16763.24,5548.8099999999995,4.1399405111187555
Uttar Pradesh,chickpea,1526.68,173.08,25.32,3.83,317.6,0.0,5774.86,19216.93,7821.369999999999,4.953359907731532
Andhra Pradesh,chickpea,4348.28,2358.4,1864.81,1073.48,0.0,0.0,13091.25,34572.41,22736.22,4.856235203658364
Andhra Pradesh,chickpea,5480.96,5111.16,1385.59,1797.37,57.6,73.19,18844.52,59320.11,32750.39,5.952934987151211
Bihar,chickpea,3606.58,1464.76,0.0,108.22,16.03,0.0,10502.2,36841.96,15697.79,3.864753849578115
Uttar Pradesh,chickpea,4418.26,1223.72,509.52,229.42,1691.25,24.66,19594.56,49234.38,27691.39,4.2208777645130615
Uttar Pradesh,chickpea,4991.21,1105.49,0.0,6.93,1334.23,0.0,11969.64,33093.96,19407.5,3.933550514963275
Bihar,chickpea,5397.87,2053.39,100.76,473.07,270.19,0.0,23850.57,81718.25,32145.85,6.062200279233524
Andhra Pradesh,chickpea,6167.9,4519.41,135.54,2419.59,2.78,131.0,27306.92,86480.46,40683.14,7.361243196212137
Bihar,chickpea,1015.32,350.03,0.0,3.46,60.26,0.0,3414.23,8754.98,4843.3,2.9663503369013173
Madhya Pradesh,chickpea,1030.6,424.7,0.41,99.79,250.11,0.83,3910.7,11225.29,5717.139999999999,3.9699722789907126
Madhya Pradesh,chickpea,1491.05,479.08,7.8,25.79,576.52,0.0,4952.52,13487.76,7532.76,3.787863458853524
Uttar Pradesh,chickpea,1623.04,228.68,0.0,8.92,422.59,0.0,5792.2,14785.41,8075.43,3.9821128669998584
Bihar,chickpea,1247.58,277.22,0.0,0.0,28.35,0.0,5530.74,15556.23,7083.889999999999,3.7271605188077945
West Bengal,chickpea,5395.52,2479.02,0.0,0.0,0.0,0.0,7024.85,26206.79,14899.390000000001,2.8651787701584346
Jharkhand,chickpea,997.93,18.41,0.0,0.0,73.88,0.0,2588.43,9869.16,3678.6499999999996,2.124602901600534
Bihar,chickpea,2982.99,1257.28,0.0,11.87,3.45,0.0,7072.82,23458.09,11328.41,2.444305052508043
Chhattisgarh,chickpea,3634.41,1990.65,0.0,1345.27,1496.61,7.35,8498.55,29740.65,16972.84,3.945691102972421
Haryana,chickpea,1779.17,492.42,0.0,0.0,557.83,0.0,13735.85,35273.93,16565.27,3.8566601242386835
Karnataka,chickpea,3855.8,1803.49,566.54,1235.09,63.45,0.0,6867.75,23859.49,14392.119999999999,2.456445640517189
Madhya Pradesh,chickpea,4893.85,1691.4,0.0,740.04,1668.96,44.42,12325.3,39714.04,21363.97,4.508205014062848
Maharashtra,chickpea,4031.91,1878.08,158.85,764.46,1789.01,0.0,10247.77,38579.21,18870.08,4.641751482163453
Rajasthan,chickpea,2905.47,877.59,2.78,515.98,1487.72,0.0,8895.59,32848.8,14685.130000000001,4.018534631027296
Andhra Pradesh,chickpea,4441.55,1236.4,1182.74,1618.32,5.03,1.7,15667.02,43385.97,24152.760000000002,4.9614536330709615
Chhattisgarh,chickpea,6457.79,2930.38,0.0,2055.48,3483.99,51.47,16365.69,65349.5,31344.8,5.568483033528257
Chhattisgarh,chickpea,1438.96,211.53,0.0,1.54,73.88,0.0,3633.65,10392.36,5359.5599999999995,2.9825377875801786
Haryana,chickpea,1225.88,0.0,0.0,55.04,0.0,0.0,10818.41,21181.45,12099.33,2.857085044819004
Maharashtra,chickpea,1393.79,480.78,1.78,122.12,1054.13,0.0,5607.25,15388.87,8659.85,4.111612472430748
